Ranking,Player,Nationality
1,Francisco Sanchez Ruiz,Spain
2,Fedor Gorst,USA
3,Shane Van Boening,USA
4,Joshua Filler,Germany
5,Ko Ping Chung,Taiwan
6,Jayson Shaw,Great Britain
7,Albin Ouschan,Austria
8,Mario He ,Austria
9,David Alcaide,Spain
10,Aloysius Yapp,Singapore
11,Wiktor Zielinski ,Poland
12,Ko Pin Yi,Taiwan
13,Eklent Kac,Albania
14,Max Lechner,Albania
15,Alexander Kazakis,Greece
16,Skyler Woodward,USA
17,Niels Feijen,Netherlands
18,Moritz Neuhausen,Germany
19,Naoyuki Oi,Japan
20,Aleksa Pecelj,Serbia
